Time,Start_time,Diff,Minutes,Seconds,Th,Tc
21:27,19:30,1:57,117,7020,1150,768
21:47,19:30,2:17,137,8220,900,604
21:48,19:30,2:18,138,8280,950,626
21:49,19:30,2:19,139,8340,150,626
21:50,19:30,2:20,140,8400,950,610
21:52,19:30,2:22,142,8520,900,594
21:56,19:30,2:26,146,8760,1100,550
21:59,19:30,2:29,149,8940,950,544
22:08,19:30,2:38,158,9480,900,454
22:16,19:30,2:46,166,9960,900,454
22:19,19:30,2:49,169,10140,900,410
22:21,19:30,2:51,171,10260,900,514
22:26,19:30,2:56,176,10560,900,390
