Hours,Seconds,Temp_C,Temp_K
0.017,61.2,700,973
0.036,129.6,576,849
0.042,151.2,573,846
0.053,190.8,550,823
0.057,205.2,498,771
0.06,216,512,785
0.061,219.6,496,769
0.064,230.4,496,769
0.065,234,488,761
0.069,248.4,488,761
0.072,259.2,474,747
0.075,270,473,746
0.078,280.8,458,731
0.079,284.4,456,729
0.081,291.6,455,728
0.082,295.2,454,727
0.083,298.8,453,726
0.086,309.6,450,723
0.088,316.8,454,727
0.089,320.4,450,723
0.092,331.2,448,721
0.094,338.4,455,728
0.096,345.6,446,719
0.097,349.2,441,714
0.1,360,443,716
0.103,370.8,440,713
0.106,381.6,439,712
0.108,388.8,440,713
0.111,399.6,440,713
0.113,406.8,445,718
0.115,414,434,707
0.118,424.8,436,709
0.119,428.4,436,709
0.122,439.2,441,714
0.126,453.6,443,716
0.128,460.8,438,711
0.132,475.2,429,702
0.133,478.8,431,704
0.136,489.6,430,703
0.14,504,427,700
0.146,525.6,427,700
0.151,543.6,426,699
0.154,554.4,425,698
0.157,565.2,422,695
0.161,579.6,426,699
0.165,594,422,695
0.168,604.8,420,693
0.174,626.4,423,696
0.178,640.8,424,697
0.182,655.2,414,687
0.186,669.6,414,687
0.19,684,418,691
0.194,698.4,411,684
0.2,720,418,691
0.207,745.2,398,671
0.213,766.8,404,677
0.218,784.8,396,669
0.236,849.6,388,661
0.243,874.8,385,658
0.254,914.4,380,653
0.261,939.6,382,655
0.264,950.4,380,653
0.271,975.6,385,658
0.275,990,378,651
0.281,1011.6,378,651
0.288,1036.8,376,649
0.292,1051.2,371,644
0.294,1058.4,368,641
0.3,1080,365,638
0.308,1108.8,366,639
0.313,1126.8,365,638
0.321,1155.6,366,639
0.333,1198.8,362,635
0.344,1238.4,358,631
0.351,1263.6,359,632
0.358,1288.8,369,642
0.363,1306.8,366,639
0.372,1339.2,355,628
0.382,1375.2,351,624
0.39,1404,362,635
0.403,1450.8,355,628
0.417,1501.2,352,625
0.428,1540.8,352,625
0.435,1566,351,624
0.443,1594.8,353,626
0.447,1609.2,346,619
0.458,1648.8,344,617
0.468,1684.8,343,616
0.478,1720.8,340,613
0.488,1756.8,342,615
0.5,1800,330,603
0.508,1828.8,336,609
0.519,1868.4,327,600
0.533,1918.8,328,601
0.55,1980,334,607
0.56,2016,327,600
0.571,2055.6,323,596
0.582,2095.2,332,605
0.593,2134.8,326,599
0.604,2174.4,323,596
0.614,2210.4,316,589
0.632,2275.2,328,601
0.644,2318.4,325,598
0.66,2376,313,586
0.674,2426.4,311,584
0.686,2469.6,304,577
0.696,2505.6,306,579
0.708,2548.8,310,583
0.718,2584.8,306,579
0.729,2624.4,306,579
0.74,2664,305,578
0.758,2728.8,303,576
0.769,2768.4,296,569
0.782,2815.2,308,581
0.799,2876.4,296,569
0.81,2916,306,579
0.818,2944.8,301,574
0.831,2991.6,298,571
0.842,3031.2,306,579
0.851,3063.6,295,568
0.868,3124.8,307,580
0.882,3175.2,298,571
0.899,3236.4,292,565
0.915,3294,290,563
0.935,3366,297,570
0.95,3420,288,561
0.968,3484.8,283,556
0.983,3538.8,285,558
0.994,3578.4,284,557
1.008,3628.8,289,562
1.021,3675.6,281,554
1.029,3704.4,282,555
1.046,3765.6,277,550
1.063,3826.8,287,560
1.079,3884.4,276,549
1.088,3916.8,278,551
1.1,3960,282,555
1.108,3988.8,294,567
1.121,4035.6,292,565
1.129,4064.4,288,561
1.15,4140,276,549
1.158,4168.8,283,556
1.175,4230,284,557
1.183,4258.8,277,550
1.192,4291.2,286,559
1.2,4320,279,552
1.208,4348.8,281,554
1.217,4381.2,281,554
1.233,4438.8,278,551
1.25,4500,273,546
1.275,4590,278,551
1.292,4651.2,272,545
1.333,4798.8,267,540
1.367,4921.2,268,541
1.4,5040,283,556
1.433,5158.8,264,537
1.45,5220,274,547
1.483,5338.8,260,533
1.517,5461.2,271,544
1.55,5580,261,534
1.683,6058.8,254,527
1.7,6120,257,530
1.742,6271.2,263,536
1.783,6418.8,250,523
1.817,6541.2,251,524
1.867,6721.2,241,514
2.033,7318.8,234,507
2.183,7858.8,231,504
2.267,8161.2,231,504
2.383,8578.8,225,498
2.483,8938.8,219,492
2.7,9720,218,491
3.383,12178.8,212,485
4.628,16660.8,208,481
6.145,22122,241,514
6.711,24159.6,212,485
7.111,25599.6,200,473
7.745,27882,200,473
9.078,32680.8,195,468
10.19,36684,197,470
11.91,42876,170,443
15.68,56448,160,433
16.69,60084,165,438
18.19,65484,165,438
18.93,68148,168,441
20.19,72684,157,430
42.11,151596,149,422
64.81,233316,148,421
89.11,320796,145,427
